Region,Zone,Feeder_Code,Substation_Code,Substation,Feeder,Time,IR,IY,IB,VRY,VYB,VBR,Active Load
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:06:00,74.9,82.7,79.7,10.9,10.9,10.8,1.53
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:09:00,81.9,88.2,85.6,10.9,10.9,10.8,1.61
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:12:00,81.9,88.2,85.6,10.9,10.9,10.9,1.65
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:15:00,78.5,84,81.5,10.9,10.9,10.9,1.5
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:18:00,78.5,84,81.5,10.9,10.9,10.9,1.57
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:21:00,74,79.9,77.3,10.9,10.9,10.9,1.51
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:24:00,75.1,81.1,77.6,10.9,10.9,10.9,1.47
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:27:00,75.1,81.1,77.6,10.8,10.8,10.8,1.51
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:30:00,77.5,84.1,80.1,10.8,10.9,10.8,1.5
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:33:00,77.5,84.1,80.1,10.9,10.9,10.8,1.4
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:36:00,83.4,88.9,85.7,10.8,10.8,10.8,1.45
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:39:00,73.5,79.2,77.2,10.9,10.9,10.8,1.34
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:42:00,73.5,79.2,77.2,10.9,10.9,10.9,1.46
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:45:00,69.4,74.5,72.2,10.9,10.9,10.9,1.39
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:48:00,69.4,74.5,72.2,10.9,10.9,10.9,1.46
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:51:00,74.1,79.3,76.9,10.9,10.9,10.9,1.43
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:54:00,76.1,83.5,80.1,10.9,10.9,10.9,1.58
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:57:00,76.1,83.5,80.1,10.9,10.9,10.9,1.52
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:00:00,75.2,81.5,78.3,10.9,10.9,10.9,1.52
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:03:00,75.2,81.5,78.3,10.9,10.9,10.9,1.46
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:06:00,86.3,92.7,91.2,10.9,11,10.9,1.43
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:09:00,70.4,76.2,73.5,10.9,10.9,10.9,1.37
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:12:00,70.4,76.2,73.5,10.9,10.9,10.9,1.46
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:15:00,76.7,83.4,80.1,10.9,10.9,10.9,1.44
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:18:00,76.7,83.4,80.1,10.9,10.9,10.9,1.54
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:21:00,74.1,80.5,76.9,10.9,10.9,10.9,1.56
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:24:00,75.7,81.6,79.4,10.9,11,10.9,1.46
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:27:00,75.7,81.6,79.4,11,11,10.9,1.53
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:30:00,75.5,82,78.7,11,11,11,1.5
