datetime,substation,feeder,FVHI,FVHD,FVLI,FVLD,FVSM,FCHI,FCHD,FCLI,FCLD,FCSM
2024-01-01 00:00,Sub1,F1,328,178,118,67,21,316,144,56,85,17
2024-01-01 01:00,Sub1,F1,315,164,109,40,11,344,125,133,57,26
2024-01-01 02:00,Sub1,F1,311,167,109,81,40,253,142,122,28,27
2024-01-01 03:00,Sub1,F1,311,131,86,71,36,345,120,100,31,32
2024-01-01 04:00,Sub1,F1,303,165,106,90,14,349,113,93,36,5
2024-01-01 05:00,Sub1,F1,297,154,100,88,27,206,173,136,50,19
2024-01-01 06:00,Sub1,F1,310,162,105,26,27,331,111,101,23,11
2024-01-01 07:00,Sub1,F1,324,154,102,53,54,308,116,58,33,33
2024-01-01 08:00,Sub1,F1,309,182,144,53,25,336,126,51,74,9
2024-01-01 09:00,Sub1,F1,303,170,110,27,25,275,86,97,41,20
2024-01-01 10:00,Sub1,F1,359,175,120,30,28,216,112,69,37,5
2024-01-01 11:00,Sub1,F1,331,160,106,70,52,221,108,81,78,17
2024-01-01 12:00,Sub1,F1,330,155,101,84,51,288,166,109,43,43
2024-01-01 13:00,Sub1,F1,305,165,107,99,50,276,153,51,17,39
2024-01-01 14:00,Sub1,F1,327,171,114,90,16,266,114,73,81,20
2024-01-01 15:00,Sub1,F1,329,151,100,23,45,245,107,90,89,32
2024-01-01 16:00,Sub1,F1,296,173,112,50,55,229,117,92,47,35
2024-01-01 17:00,Sub1,F1,312,170,113,86,33,287,156,107,88,13
2024-01-01 18:00,Sub1,F1,303,160,105,44,27,200,136,60,89,14
2024-01-01 19:00,Sub1,F1,330,161,108,42,29,207,158,41,58,41
2024-01-01 20:00,Sub1,F1,312,160,104,29,33,344,147,53,17,47
2024-01-01 21:00,Sub1,F1,333,158,106,29,31,217,112,42,75,34
2024-01-01 22:00,Sub1,F1,306,169,110,74,51,218,158,75,79,47
2024-01-01 23:00,Sub1,F1,312,171,113,58,47,265,127,73,48,39
2024-01-02 00:00,Sub1,F1,338,163,109,98,37,223,178,124,48,18
2024-01-02 01:00,Sub1,F1,328,156,102,23,47,214,161,65,51,37
2024-01-02 02:00,Sub1,F1,279,165,104,90,51,266,156,90,35,26
2024-01-02 03:00,Sub1,F1,314,159,105,81,16,327,153,40,16,32
2024-01-02 04:00,Sub1,F1,304,177,115,87,38,205,96,127,41,9
2024-01-02 05:00,Sub1,F1,293,162,106,96,11,257,166,88,46,26
2024-01-02 06:00,Sub1,F1,325,158,104,56,13,300,92,45,61,29
2024-01-02 07:00,Sub1,F1,312,174,115,40,51,323,83,120,30,32
2024-01-02 08:00,Sub1,F1,306,177,117,96,24,237,143,87,84,32
2024-01-02 09:00,Sub1,F1,339,150,119,64,37,335,127,129,88,33
2024-01-02 10:00,Sub1,F1,295,162,103,45,17,332,155,51,64,47
2024-01-02 11:00,Sub1,F1,325,168,111,66,23,253,91,92,30,28
2024-01-02 12:00,Sub1,F1,307,157,103,89,11,345,117,126,75,46
2024-01-02 13:00,Sub1,F1,300,177,117,73,40,313,92,94,62,14
2024-01-02 14:00,Sub1,F1,322,170,111,51,41,344,82,137,58,6
2024-01-02 15:00,Sub1,F1,299,168,110,21,25,332,93,111,89,43
2024-01-02 16:00,Sub1,F1,322,153,102,56,50,336,162,96,77,36
2024-01-02 17:00,Sub1,F1,325,169,111,30,57,258,82,50,21,45
2024-01-02 18:00,Sub1,F1,335,152,102,81,31,296,86,84,37,6
2024-01-02 19:00,Sub1,F1,324,151,100,73,15,330,120,56,78,34
2024-01-02 20:00,Sub1,F1,305,152,98,32,23,300,124,119,36,34
2024-01-02 21:00,Sub1,F1,323,175,116,56,43,331,102,91,76,49
2024-01-02 22:00,Sub1,F1,314,192,127,78,21,280,154,96,24,18
2024-01-02 23:00,Sub1,F1,305,161,105,25,12,339,140,85,31,40
2024-01-03 00:00,Sub1,F1,315,169,111,55,18,286,163,138,48,48
2024-01-03 01:00,Sub1,F1,317,156,103,41,19,331,163,89,54,46
2024-01-03 02:00,Sub1,F1,312,171,112,55,48,278,129,57,56,28
2024-01-03 03:00,Sub1,F1,300,168,111,77,13,341,157,124,72,46
2024-01-03 04:00,Sub1,F1,319,148,97,53,20,305,176,73,52,29
2024-01-03 05:00,Sub1,F1,326,150,100,90,43,330,102,79,15,34
2024-01-03 06:00,Sub1,F1,326,167,111,91,34,335,119,68,20,8
2024-01-03 07:00,Sub1,F1,375,176,123,41,59,312,92,107,25,42
2024-01-03 08:00,Sub1,F1,313,170,111,46,33,275,169,46,85,41
2024-01-03 09:00,Sub1,F1,315,161,105,45,17,262,97,93,55,11
2024-01-03 10:00,Sub1,F1,328,143,94,45,25,314,111,98,25,8
2024-01-03 11:00,Sub1,F1,334,179,120,76,45,297,129,50,75,7
2024-01-03 12:00,Sub1,F1,307,163,107,67,43,291,75,81,24,19
2024-01-03 13:00,Sub1,F1,308,177,116,66,29,276,175,122,69,31
2024-01-03 14:00,Sub1,F1,288,163,104,51,44,332,144,91,27,20
2024-01-03 15:00,Sub1,F1,331,152,102,38,19,305,171,120,45,36
2024-01-03 16:00,Sub1,F1,311,154,102,66,29,319,100,117,31,34
2024-01-03 17:00,Sub1,F1,324,165,111,98,34,348,126,124,23,23
2024-01-03 18:00,Sub1,F1,296,155,112,78,43,317,113,73,83,47
2024-01-03 19:00,Sub1,F1,308,166,109,37,13,220,123,48,78,11
2024-01-03 20:00,Sub1,F1,318,150,97,67,40,225,99,126,23,47
2024-01-03 21:00,Sub1,F1,317,180,117,57,35,324,88,131,24,36
2024-01-03 22:00,Sub1,F1,316,156,102,73,55,201,117,102,43,22
2024-01-03 23:00,Sub1,F1,353,150,101,50,54,307,74,129,82,37
2024-01-04 00:00,Sub1,F1,315,162,107,93,58,334,76,114,82,30
2024-01-04 01:00,Sub1,F1,320,179,117,93,32,223,77,95,20,47
2024-01-04 02:00,Sub1,F1,328,162,108,95,42,275,162,64,32,10
2024-01-04 03:00,Sub1,F1,317,164,107,74,34,235,95,91,84,14
2024-01-04 04:00,Sub1,F1,331,156,103,64,33,237,122,80,15,28
2024-01-04 05:00,Sub1,F1,313,171,113,93,30,280,96,95,69,42
2024-01-04 06:00,Sub1,F1,309,171,112,81,58,274,90,110,69,35
2024-01-04 07:00,Sub1,F1,308,161,105,91,12,311,79,80,67,26
2024-01-04 08:00,Sub1,F1,308,174,115,25,18,271,90,52,49,43
2024-01-04 09:00,Sub1,F1,312,176,115,61,27,286,90,134,68,26
2024-01-04 10:00,Sub1,F1,315,171,112,29,19,305,127,112,44,6
2024-01-04 11:00,Sub1,F1,309,162,106,24,20,238,131,120,87,46
2024-01-04 12:00,Sub1,F1,292,156,101,81,17,221,85,71,19,27
2024-01-04 13:00,Sub1,F1,300,168,110,80,38,259,155,105,46,49
2024-01-04 14:00,Sub1,F1,308,161,103,74,50,238,156,97,52,36
2024-01-04 15:00,Sub1,F1,344,152,101,36,52,305,72,64,75,46
2024-01-04 16:00,Sub1,F1,327,176,117,64,41,262,72,45,34,24
2024-01-04 17:00,Sub1,F1,321,156,103,82,44,292,120,59,32,22
2024-01-04 18:00,Sub1,F1,335,156,103,71,20,347,80,64,83,15
2024-01-04 19:00,Sub1,F1,338,165,111,33,12,335,107,44,51,21
2024-01-04 20:00,Sub1,F1,314,161,105,47,33,267,89,66,58,35
2024-01-04 21:00,Sub1,F1,317,165,108,47,55,307,80,111,65,37
2024-01-04 22:00,Sub1,F1,325,162,106,33,46,212,131,50,86,21
2024-01-04 23:00,Sub1,F1,306,164,106,86,33,318,125,62,47,24
2024-01-05 00:00,Sub1,F1,325,162,109,35,45,279,136,84,53,7
2024-01-05 01:00,Sub1,F1,324,186,123,93,59,320,70,123,53,14
2024-01-05 02:00,Sub1,F1,316,172,112,65,26,211,144,100,37,14
2024-01-05 03:00,Sub1,F1,330,137,90,76,27,340,169,42,88,7
2024-01-05 04:00,Sub1,F1,290,165,107,98,17,294,81,109,76,13
2024-01-05 05:00,Sub1,F1,332,146,98,98,37,225,116,82,49,20
2024-01-05 06:00,Sub1,F1,317,158,104,97,56,340,86,120,51,28
2024-01-05 07:00,Sub1,F1,302,160,105,41,35,280,130,126,43,31
2024-01-05 08:00,Sub1,F1,317,160,105,85,42,226,167,54,43,14
2024-01-05 09:00,Sub1,F1,323,161,106,22,11,245,103,91,74,45
2024-01-05 10:00,Sub1,F1,314,143,92,49,22,258,173,101,35,7
2024-01-05 11:00,Sub1,F1,326,143,96,46,33,287,126,92,76,42
2024-01-05 12:00,Sub1,F1,322,184,122,96,57,303,93,123,25,32
2024-01-05 13:00,Sub1,F1,341,185,126,81,13,280,161,136,45,6
2024-01-05 14:00,Sub1,F1,303,158,104,98,41,211,167,100,34,41
2024-01-05 15:00,Sub1,F1,331,173,114,67,47,344,135,117,70,23
2024-01-05 16:00,Sub1,F1,331,159,106,61,24,208,124,121,26,13
2024-01-05 17:00,Sub1,F1,286,180,114,79,14,234,80,82,20,9
2024-01-05 18:00,Sub1,F1,318,170,112,59,13,319,126,71,81,10
2024-01-05 19:00,Sub1,F1,294,137,88,87,27,258,79,122,50,8
2024-01-05 20:00,Sub1,F1,316,160,104,37,26,212,177,123,30,43
2024-01-05 21:00,Sub1,F1,325,160,107,92,10,326,92,71,17,32
2024-01-05 22:00,Sub1,F1,312,156,101,86,20,255,135,70,41,23
2024-01-05 23:00,Sub1,F1,310,160,103,78,39,262,79,43,39,43
2024-01-06 00:00,Sub1,F1,319,135,88,75,38,266,104,84,33,19
2024-01-06 01:00,Sub1,F1,319,153,101,39,48,256,146,47,68,43
2024-01-06 02:00,Sub1,F1,331,154,101,62,57,233,164,49,58,9
2024-01-06 03:00,Sub1,F1,327,158,102,64,53,262,95,100,66,16
2024-01-06 04:00,Sub1,F1,309,136,89,28,39,331,150,128,71,42
2024-01-06 05:00,Sub1,F1,304,196,129,71,14,274,157,62,58,43
2024-01-06 06:00,Sub1,F1,341,133,87,56,11,226,171,115,34,7
2024-01-06 07:00,Sub1,F1,305,154,99,39,37,241,156,60,35,31
2024-01-06 08:00,Sub1,F1,321,171,114,86,49,287,74,116,66,45
2024-01-06 09:00,Sub1,F1,328,162,107,22,48,264,107,112,68,28
2024-01-06 10:00,Sub1,F1,312,179,117,24,51,288,78,103,82,9
2024-01-06 11:00,Sub1,F1,308,172,114,36,12,290,143,85,81,33
2024-01-06 12:00,Sub1,F1,319,162,107,99,54,281,99,42,38,47
2024-01-06 13:00,Sub1,F1,315,154,100,59,27,303,81,65,38,37
2024-01-06 14:00,Sub1,F1,306,155,98,84,12,337,99,98,82,10
2024-01-06 15:00,Sub1,F1,328,158,104,83,56,225,130,55,41,28
