unique_id,ds,cutoff,yhat,y
NHITS_11KV_KUBERA,2026-05-11 22:36:00,2026-05-11 22:33:00,1.5746281,1.59
NHITS_11KV_KUBERA,2026-05-11 22:39:00,2026-05-11 22:33:00,1.6235161,1.6
NHITS_11KV_KUBERA,2026-05-11 22:42:00,2026-05-11 22:33:00,1.6416607,1.59
NHITS_11KV_KUBERA,2026-05-11 22:45:00,2026-05-11 22:33:00,1.7505007,1.6
NHITS_11KV_KUBERA,2026-05-11 22:48:00,2026-05-11 22:33:00,1.7025677,1.61
NHITS_11KV_KUBERA,2026-05-11 22:51:00,2026-05-11 22:33:00,1.5848337,1.58
NHITS_11KV_KUBERA,2026-05-11 22:54:00,2026-05-11 22:33:00,1.549482,1.58
NHITS_11KV_KUBERA,2026-05-11 22:57:00,2026-05-11 22:33:00,1.5180968,1.6
NHITS_11KV_KUBERA,2026-05-11 23:00:00,2026-05-11 22:33:00,1.669718,1.6
NHITS_11KV_KUBERA,2026-05-11 23:03:00,2026-05-11 22:33:00,1.681026,1.62
NHITS_11KV_KUBERA,2026-05-11 23:06:00,2026-05-11 22:33:00,1.691761,1.61
NHITS_11KV_KUBERA,2026-05-11 23:09:00,2026-05-11 22:33:00,1.6391901,1.6
NHITS_11KV_KUBERA,2026-05-11 23:12:00,2026-05-11 22:33:00,1.5318497,1.63
NHITS_11KV_KUBERA,2026-05-11 23:15:00,2026-05-11 22:33:00,1.5294932,1.62
NHITS_11KV_KUBERA,2026-05-11 23:18:00,2026-05-11 22:33:00,1.5512803,1.71
NHITS_11KV_KUBERA,2026-05-11 23:21:00,2026-05-11 22:33:00,1.535361,1.7
NHITS_11KV_KUBERA,2026-05-11 23:24:00,2026-05-11 22:33:00,1.4910461,1.71
NHITS_11KV_KUBERA,2026-05-11 23:27:00,2026-05-11 22:33:00,1.4840381,1.61
NHITS_11KV_KUBERA,2026-05-11 23:30:00,2026-05-11 22:33:00,1.3776548,1.64
NHITS_11KV_KUBERA,2026-05-11 23:33:00,2026-05-11 22:33:00,1.3455554,1.61
NHITS_11KV_KUBERA,2026-05-11 22:39:00,2026-05-11 22:36:00,1.5991389,1.6
NHITS_11KV_KUBERA,2026-05-11 22:42:00,2026-05-11 22:36:00,1.5928848,1.59
NHITS_11KV_KUBERA,2026-05-11 22:45:00,2026-05-11 22:36:00,1.5863206,1.6
NHITS_11KV_KUBERA,2026-05-11 22:48:00,2026-05-11 22:36:00,1.6968131,1.61
NHITS_11KV_KUBERA,2026-05-11 22:51:00,2026-05-11 22:36:00,1.6753306,1.58
NHITS_11KV_KUBERA,2026-05-11 22:54:00,2026-05-11 22:36:00,1.573033,1.58
NHITS_11KV_KUBERA,2026-05-11 22:57:00,2026-05-11 22:36:00,1.5141534,1.6
NHITS_11KV_KUBERA,2026-05-11 23:00:00,2026-05-11 22:36:00,1.4754763,1.6
NHITS_11KV_KUBERA,2026-05-11 23:03:00,2026-05-11 22:36:00,1.6218252,1.62
NHITS_11KV_KUBERA,2026-05-11 23:06:00,2026-05-11 22:36:00,1.6544527,1.61
NHITS_11KV_KUBERA,2026-05-11 23:09:00,2026-05-11 22:36:00,1.6743555,1.6
NHITS_11KV_KUBERA,2026-05-11 23:12:00,2026-05-11 22:36:00,1.6411315,1.63
NHITS_11KV_KUBERA,2026-05-11 23:15:00,2026-05-11 22:36:00,1.5392678,1.62
NHITS_11KV_KUBERA,2026-05-11 23:18:00,2026-05-11 22:36:00,1.5351113,1.71
NHITS_11KV_KUBERA,2026-05-11 23:21:00,2026-05-11 22:36:00,1.539686,1.7
NHITS_11KV_KUBERA,2026-05-11 23:24:00,2026-05-11 22:36:00,1.4970387,1.71
NHITS_11KV_KUBERA,2026-05-11 23:27:00,2026-05-11 22:36:00,1.4643034,1.61
NHITS_11KV_KUBERA,2026-05-11 23:30:00,2026-05-11 22:36:00,1.4581058,1.64
NHITS_11KV_KUBERA,2026-05-11 23:33:00,2026-05-11 22:36:00,1.3489683,1.61
NHITS_11KV_KUBERA,2026-05-11 23:36:00,2026-05-11 22:36:00,1.3134097,1.61
NHITS_11KV_KUBERA,2026-05-11 22:42:00,2026-05-11 22:39:00,1.5969427,1.59
NHITS_11KV_KUBERA,2026-05-11 22:45:00,2026-05-11 22:39:00,1.5706794,1.6
NHITS_11KV_KUBERA,2026-05-11 22:48:00,2026-05-11 22:39:00,1.5527374,1.61
NHITS_11KV_KUBERA,2026-05-11 22:51:00,2026-05-11 22:39:00,1.6648405,1.58
NHITS_11KV_KUBERA,2026-05-11 22:54:00,2026-05-11 22:39:00,1.6553998,1.58
