unique_id,ds,cutoff,yhat,y
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 19:54:00,2026-05-11 19:51:00,2.7123,2.83
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 19:57:00,2026-05-11 19:51:00,2.8098705,2.85
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:00:00,2026-05-11 19:51:00,2.786523,2.86
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:03:00,2026-05-11 19:51:00,2.7181907,2.85
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:06:00,2026-05-11 19:51:00,2.761464,2.85
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:09:00,2026-05-11 19:51:00,2.8148124,2.83
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:12:00,2026-05-11 19:51:00,2.7801578,2.9
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:15:00,2026-05-11 19:51:00,2.7755651,2.85
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:18:00,2026-05-11 19:51:00,2.7986026,2.88
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:21:00,2026-05-11 19:51:00,2.8004372,2.88
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:24:00,2026-05-11 19:51:00,2.7520182,2.83
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:27:00,2026-05-11 19:51:00,2.7760777,2.82
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:30:00,2026-05-11 19:51:00,2.7465563,2.86
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:33:00,2026-05-11 19:51:00,2.7302966,2.83
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:36:00,2026-05-11 19:51:00,2.7829194,2.83
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:39:00,2026-05-11 19:51:00,2.7815943,2.81
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:42:00,2026-05-11 19:51:00,2.7010434,2.84
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:45:00,2026-05-11 19:51:00,2.7332883,2.84
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:48:00,2026-05-11 19:51:00,2.7283893,2.8
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:51:00,2026-05-11 19:51:00,2.745281,2.83
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 19:57:00,2026-05-11 19:54:00,2.702609,2.85
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:00:00,2026-05-11 19:54:00,2.7992384,2.86
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:03:00,2026-05-11 19:54:00,2.764662,2.85
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:06:00,2026-05-11 19:54:00,2.7052114,2.85
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:09:00,2026-05-11 19:54:00,2.7473776,2.83
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:12:00,2026-05-11 19:54:00,2.811127,2.9
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:15:00,2026-05-11 19:54:00,2.7657318,2.85
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:18:00,2026-05-11 19:54:00,2.766492,2.88
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:21:00,2026-05-11 19:54:00,2.7819707,2.88
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:24:00,2026-05-11 19:54:00,2.7928226,2.83
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:27:00,2026-05-11 19:54:00,2.7462173,2.82
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:30:00,2026-05-11 19:54:00,2.7608132,2.86
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:33:00,2026-05-11 19:54:00,2.730088,2.83
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:36:00,2026-05-11 19:54:00,2.7170432,2.83
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:39:00,2026-05-11 19:54:00,2.768748,2.81
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:42:00,2026-05-11 19:54:00,2.7480195,2.84
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:45:00,2026-05-11 19:54:00,2.6727252,2.84
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:48:00,2026-05-11 19:54:00,2.7038321,2.8
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:51:00,2026-05-11 19:54:00,2.6994288,2.83
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:54:00,2026-05-11 19:54:00,2.7084923,2.75
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:00:00,2026-05-11 19:57:00,2.7386441,2.86
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:03:00,2026-05-11 19:57:00,2.829396,2.85
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:06:00,2026-05-11 19:57:00,2.7947247,2.85
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:09:00,2026-05-11 19:57:00,2.7437541,2.83
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:12:00,2026-05-11 19:57:00,2.7868805,2.9
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:15:00,2026-05-11 19:57:00,2.8489776,2.85
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:18:00,2026-05-11 19:57:00,2.8024206,2.88
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:21:00,2026-05-11 19:57:00,2.8038716,2.88
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:24:00,2026-05-11 19:57:00,2.817345,2.83
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:27:00,2026-05-11 19:57:00,2.8272967,2.82
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:30:00,2026-05-11 19:57:00,2.7822862,2.86
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:33:00,2026-05-11 19:57:00,2.8031294,2.83
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:36:00,2026-05-11 19:57:00,2.7746444,2.83
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:39:00,2026-05-11 19:57:00,2.7607193,2.81
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:42:00,2026-05-11 19:57:00,2.8090467,2.84
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:45:00,2026-05-11 19:57:00,2.7823296,2.84
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:48:00,2026-05-11 19:57:00,2.7115567,2.8
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:51:00,2026-05-11 19:57:00,2.7398593,2.83
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:54:00,2026-05-11 19:57:00,2.7262807,2.75
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:57:00,2026-05-11 19:57:00,2.728953,2.76
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:03:00,2026-05-11 20:00:00,2.7359874,2.85
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:06:00,2026-05-11 20:00:00,2.827536,2.85
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:09:00,2026-05-11 20:00:00,2.7928097,2.83
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:12:00,2026-05-11 20:00:00,2.7417734,2.9
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:15:00,2026-05-11 20:00:00,2.7778857,2.85
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:18:00,2026-05-11 20:00:00,2.845162,2.88
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:21:00,2026-05-11 20:00:00,2.805756,2.88
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:24:00,2026-05-11 20:00:00,2.812614,2.83
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:27:00,2026-05-11 20:00:00,2.8231192,2.82
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:30:00,2026-05-11 20:00:00,2.8303056,2.86
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:33:00,2026-05-11 20:00:00,2.7876232,2.83
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:36:00,2026-05-11 20:00:00,2.8079429,2.83
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:39:00,2026-05-11 20:00:00,2.775967,2.81
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:42:00,2026-05-11 20:00:00,2.7554157,2.84
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:45:00,2026-05-11 20:00:00,2.7987251,2.84
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:48:00,2026-05-11 20:00:00,2.7745068,2.8
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:51:00,2026-05-11 20:00:00,2.6988072,2.83
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:54:00,2026-05-11 20:00:00,2.7273626,2.75
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:57:00,2026-05-11 20:00:00,2.709661,2.76
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 21:00:00,2026-05-11 20:00:00,2.7169714,2.79
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:06:00,2026-05-11 20:03:00,2.7244272,2.85
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:09:00,2026-05-11 20:03:00,2.8181376,2.83
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:12:00,2026-05-11 20:03:00,2.7840998,2.9
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:15:00,2026-05-11 20:03:00,2.7294528,2.85
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:18:00,2026-05-11 20:03:00,2.759314,2.88
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:21:00,2026-05-11 20:03:00,2.8248315,2.88
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:24:00,2026-05-11 20:03:00,2.789432,2.83
NHITS_11KV_MALWADI_HADAPSAR,2026-05-11 20:27:00,2026-05-11 20:03:00,2.7942882,2.82
