unique_id,ds,cutoff,yhat,y
NHITS_RMU1,2026-05-11 22:24:00,2026-05-11 22:21:00,1.4248054,1.67
NHITS_RMU1,2026-05-11 22:27:00,2026-05-11 22:21:00,1.412323,1.54
NHITS_RMU1,2026-05-11 22:30:00,2026-05-11 22:21:00,1.2657784,1.42
NHITS_RMU1,2026-05-11 22:33:00,2026-05-11 22:21:00,1.3081124,1.39
NHITS_RMU1,2026-05-11 22:36:00,2026-05-11 22:21:00,1.3376791,1.38
NHITS_RMU1,2026-05-11 22:39:00,2026-05-11 22:21:00,1.3746878,1.36
NHITS_RMU1,2026-05-11 22:42:00,2026-05-11 22:21:00,1.2761624,1.41
NHITS_RMU1,2026-05-11 22:45:00,2026-05-11 22:21:00,1.2379162,1.65
NHITS_RMU1,2026-05-11 22:48:00,2026-05-11 22:21:00,1.1885774,1.78
NHITS_RMU1,2026-05-11 22:51:00,2026-05-11 22:21:00,1.2079252,1.49
NHITS_RMU1,2026-05-11 22:54:00,2026-05-11 22:21:00,1.2739387,1.41
NHITS_RMU1,2026-05-11 22:57:00,2026-05-11 22:21:00,1.3623867,1.59
NHITS_RMU1,2026-05-11 23:00:00,2026-05-11 22:21:00,1.3990434,1.36
NHITS_RMU1,2026-05-11 23:03:00,2026-05-11 22:21:00,1.3549943,1.35
NHITS_RMU1,2026-05-11 23:06:00,2026-05-11 22:21:00,1.2626156,1.37
NHITS_RMU1,2026-05-11 23:09:00,2026-05-11 22:21:00,1.2485774,1.32
NHITS_RMU1,2026-05-11 23:12:00,2026-05-11 22:21:00,1.2666926,1.49
NHITS_RMU1,2026-05-11 23:15:00,2026-05-11 22:21:00,1.2212473,1.13
NHITS_RMU1,2026-05-11 23:18:00,2026-05-11 22:21:00,1.304179,1.11
NHITS_RMU1,2026-05-11 23:21:00,2026-05-11 22:21:00,1.3762335,1.18
NHITS_RMU1,2026-05-11 22:27:00,2026-05-11 22:24:00,1.4781735,1.54
NHITS_RMU1,2026-05-11 22:30:00,2026-05-11 22:24:00,1.4583153,1.42
NHITS_RMU1,2026-05-11 22:33:00,2026-05-11 22:24:00,1.3220379,1.39
NHITS_RMU1,2026-05-11 22:36:00,2026-05-11 22:24:00,1.3904595,1.38
NHITS_RMU1,2026-05-11 22:39:00,2026-05-11 22:24:00,1.4406185,1.36
NHITS_RMU1,2026-05-11 22:42:00,2026-05-11 22:24:00,1.496151,1.41
NHITS_RMU1,2026-05-11 22:45:00,2026-05-11 22:24:00,1.3810184,1.65
NHITS_RMU1,2026-05-11 22:48:00,2026-05-11 22:24:00,1.3305798,1.78
NHITS_RMU1,2026-05-11 22:51:00,2026-05-11 22:24:00,1.2502086,1.49
NHITS_RMU1,2026-05-11 22:54:00,2026-05-11 22:24:00,1.2751832,1.41
NHITS_RMU1,2026-05-11 22:57:00,2026-05-11 22:24:00,1.3596876,1.59
NHITS_RMU1,2026-05-11 23:00:00,2026-05-11 22:24:00,1.4767964,1.36
NHITS_RMU1,2026-05-11 23:03:00,2026-05-11 22:24:00,1.5315452,1.35
NHITS_RMU1,2026-05-11 23:06:00,2026-05-11 22:24:00,1.4835889,1.37
NHITS_RMU1,2026-05-11 23:09:00,2026-05-11 22:24:00,1.3748574,1.32
NHITS_RMU1,2026-05-11 23:12:00,2026-05-11 22:24:00,1.348258,1.49
NHITS_RMU1,2026-05-11 23:15:00,2026-05-11 22:24:00,1.35988,1.13
NHITS_RMU1,2026-05-11 23:18:00,2026-05-11 22:24:00,1.3164494,1.11
NHITS_RMU1,2026-05-11 23:21:00,2026-05-11 22:24:00,1.4039729,1.18
NHITS_RMU1,2026-05-11 23:24:00,2026-05-11 22:24:00,1.4763899,1.09
NHITS_RMU1,2026-05-11 22:30:00,2026-05-11 22:27:00,1.3523214,1.42
NHITS_RMU1,2026-05-11 22:33:00,2026-05-11 22:27:00,1.3313546,1.39
NHITS_RMU1,2026-05-11 22:36:00,2026-05-11 22:27:00,1.1982147,1.38
NHITS_RMU1,2026-05-11 22:39:00,2026-05-11 22:27:00,1.2740506,1.36
NHITS_RMU1,2026-05-11 22:42:00,2026-05-11 22:27:00,1.3317363,1.41
NHITS_RMU1,2026-05-11 22:45:00,2026-05-11 22:27:00,1.3863797,1.65
NHITS_RMU1,2026-05-11 22:48:00,2026-05-11 22:27:00,1.25646,1.78
NHITS_RMU1,2026-05-11 22:51:00,2026-05-11 22:27:00,1.1926601,1.49
NHITS_RMU1,2026-05-11 22:54:00,2026-05-11 22:27:00,1.0911589,1.41
NHITS_RMU1,2026-05-11 22:57:00,2026-05-11 22:27:00,1.1136315,1.59
NHITS_RMU1,2026-05-11 23:00:00,2026-05-11 22:27:00,1.2152107,1.36
NHITS_RMU1,2026-05-11 23:03:00,2026-05-11 22:27:00,1.3482785,1.35
NHITS_RMU1,2026-05-11 23:06:00,2026-05-11 22:27:00,1.4268394,1.37
NHITS_RMU1,2026-05-11 23:09:00,2026-05-11 22:27:00,1.3858892,1.32
NHITS_RMU1,2026-05-11 23:12:00,2026-05-11 22:27:00,1.2649187,1.49
NHITS_RMU1,2026-05-11 23:15:00,2026-05-11 22:27:00,1.2331209,1.13
NHITS_RMU1,2026-05-11 23:18:00,2026-05-11 22:27:00,1.2407494,1.11
NHITS_RMU1,2026-05-11 23:21:00,2026-05-11 22:27:00,1.2038294,1.18
NHITS_RMU1,2026-05-11 23:24:00,2026-05-11 22:27:00,1.2920015,1.09
NHITS_RMU1,2026-05-11 23:27:00,2026-05-11 22:27:00,1.367641,1.28
NHITS_RMU1,2026-05-11 22:33:00,2026-05-11 22:30:00,1.2180233,1.39
NHITS_RMU1,2026-05-11 22:36:00,2026-05-11 22:30:00,1.195437,1.38
NHITS_RMU1,2026-05-11 22:39:00,2026-05-11 22:30:00,1.079453,1.36
NHITS_RMU1,2026-05-11 22:42:00,2026-05-11 22:30:00,1.1695647,1.41
NHITS_RMU1,2026-05-11 22:45:00,2026-05-11 22:30:00,1.2220747,1.65
NHITS_RMU1,2026-05-11 22:48:00,2026-05-11 22:30:00,1.2750814,1.78
NHITS_RMU1,2026-05-11 22:51:00,2026-05-11 22:30:00,1.1303402,1.49
NHITS_RMU1,2026-05-11 22:54:00,2026-05-11 22:30:00,1.0666621,1.41
NHITS_RMU1,2026-05-11 22:57:00,2026-05-11 22:30:00,0.96471345,1.59
NHITS_RMU1,2026-05-11 23:00:00,2026-05-11 22:30:00,0.98743486,1.36
NHITS_RMU1,2026-05-11 23:03:00,2026-05-11 22:30:00,1.1135933,1.35
NHITS_RMU1,2026-05-11 23:06:00,2026-05-11 22:30:00,1.2585721,1.37
NHITS_RMU1,2026-05-11 23:09:00,2026-05-11 22:30:00,1.3449805,1.32
NHITS_RMU1,2026-05-11 23:12:00,2026-05-11 22:30:00,1.3010548,1.49
NHITS_RMU1,2026-05-11 23:15:00,2026-05-11 22:30:00,1.1638291,1.13
NHITS_RMU1,2026-05-11 23:18:00,2026-05-11 22:30:00,1.1279935,1.11
NHITS_RMU1,2026-05-11 23:21:00,2026-05-11 22:30:00,1.1345273,1.18
NHITS_RMU1,2026-05-11 23:24:00,2026-05-11 22:30:00,1.1104248,1.09
NHITS_RMU1,2026-05-11 23:27:00,2026-05-11 22:30:00,1.2030928,1.28
NHITS_RMU1,2026-05-11 23:30:00,2026-05-11 22:30:00,1.2903323,1.2
NHITS_RMU1,2026-05-11 22:36:00,2026-05-11 22:33:00,1.204634,1.38
NHITS_RMU1,2026-05-11 22:39:00,2026-05-11 22:33:00,1.198246,1.36
NHITS_RMU1,2026-05-11 22:42:00,2026-05-11 22:33:00,1.0950793,1.41
NHITS_RMU1,2026-05-11 22:45:00,2026-05-11 22:33:00,1.1648896,1.65
NHITS_RMU1,2026-05-11 22:48:00,2026-05-11 22:33:00,1.1979275,1.78
NHITS_RMU1,2026-05-11 22:51:00,2026-05-11 22:33:00,1.2236433,1.49
NHITS_RMU1,2026-05-11 22:54:00,2026-05-11 22:33:00,1.0898807,1.41
NHITS_RMU1,2026-05-11 22:57:00,2026-05-11 22:33:00,1.0314503,1.59
NHITS_RMU1,2026-05-11 23:00:00,2026-05-11 22:33:00,0.95989144,1.36
NHITS_RMU1,2026-05-11 23:03:00,2026-05-11 22:33:00,0.9884531,1.35
NHITS_RMU1,2026-05-11 23:06:00,2026-05-11 22:33:00,1.1245203,1.37
NHITS_RMU1,2026-05-11 23:09:00,2026-05-11 22:33:00,1.2700077,1.32
NHITS_RMU1,2026-05-11 23:12:00,2026-05-11 22:33:00,1.3650212,1.49
NHITS_RMU1,2026-05-11 23:15:00,2026-05-11 22:33:00,1.3406134,1.13
NHITS_RMU1,2026-05-11 23:18:00,2026-05-11 22:33:00,1.2104422,1.11
NHITS_RMU1,2026-05-11 23:21:00,2026-05-11 22:33:00,1.1677709,1.18
NHITS_RMU1,2026-05-11 23:24:00,2026-05-11 22:33:00,1.1619946,1.09
NHITS_RMU1,2026-05-11 23:27:00,2026-05-11 22:33:00,1.1370935,1.28
NHITS_RMU1,2026-05-11 23:30:00,2026-05-11 22:33:00,1.2363085,1.2
NHITS_RMU1,2026-05-11 23:33:00,2026-05-11 22:33:00,1.3312263,1.18
NHITS_RMU1,2026-05-11 22:39:00,2026-05-11 22:36:00,1.2046413,1.36
NHITS_RMU1,2026-05-11 22:42:00,2026-05-11 22:36:00,1.1990392,1.41
NHITS_RMU1,2026-05-11 22:45:00,2026-05-11 22:36:00,1.091429,1.65
NHITS_RMU1,2026-05-11 22:48:00,2026-05-11 22:36:00,1.1426616,1.78
NHITS_RMU1,2026-05-11 22:51:00,2026-05-11 22:36:00,1.1682138,1.49
NHITS_RMU1,2026-05-11 22:54:00,2026-05-11 22:36:00,1.182447,1.41
NHITS_RMU1,2026-05-11 22:57:00,2026-05-11 22:36:00,1.077216,1.59
NHITS_RMU1,2026-05-11 23:00:00,2026-05-11 22:36:00,1.0348887,1.36
NHITS_RMU1,2026-05-11 23:03:00,2026-05-11 22:36:00,1.0004988,1.35
