unique_id,ds,forecast_MW
NHITS_11KV_BHOSALENAGAR,2026-05-12 02:12:00,1.3967986
NHITS_11KV_BHOSALENAGAR,2026-05-12 02:15:00,1.4738446
NHITS_11KV_BHOSALENAGAR,2026-05-12 02:18:00,1.435142
NHITS_11KV_BHOSALENAGAR,2026-05-12 02:21:00,1.417099
NHITS_11KV_BHOSALENAGAR,2026-05-12 02:24:00,1.4582462
NHITS_11KV_BHOSALENAGAR,2026-05-12 02:27:00,1.5130781
NHITS_11KV_BHOSALENAGAR,2026-05-12 02:30:00,1.4650692
NHITS_11KV_BHOSALENAGAR,2026-05-12 02:33:00,1.4373341
NHITS_11KV_BHOSALENAGAR,2026-05-12 02:36:00,1.4762225
NHITS_11KV_BHOSALENAGAR,2026-05-12 02:39:00,1.4817878
NHITS_11KV_BHOSALENAGAR,2026-05-12 02:42:00,1.5891248
NHITS_11KV_BHOSALENAGAR,2026-05-12 02:45:00,1.5572578
NHITS_11KV_BHOSALENAGAR,2026-05-12 02:48:00,1.5299844
NHITS_11KV_BHOSALENAGAR,2026-05-12 02:51:00,1.5225279
NHITS_11KV_BHOSALENAGAR,2026-05-12 02:54:00,1.4885249
NHITS_11KV_BHOSALENAGAR,2026-05-12 02:57:00,1.451417
NHITS_11KV_BHOSALENAGAR,2026-05-12 03:00:00,1.4787459
NHITS_11KV_BHOSALENAGAR,2026-05-12 03:03:00,1.5099739
NHITS_11KV_BHOSALENAGAR,2026-05-12 03:06:00,1.4805619
NHITS_11KV_BHOSALENAGAR,2026-05-12 03:09:00,1.4914527
