unique_id,ds,forecast_MW
NHITS_11KV_KUBERA,2026-05-12 02:24:00,1.4388474
NHITS_11KV_KUBERA,2026-05-12 02:27:00,1.5552285
NHITS_11KV_KUBERA,2026-05-12 02:30:00,1.5538656
NHITS_11KV_KUBERA,2026-05-12 02:33:00,1.5639005
NHITS_11KV_KUBERA,2026-05-12 02:36:00,1.4820981
NHITS_11KV_KUBERA,2026-05-12 02:39:00,1.4155619
NHITS_11KV_KUBERA,2026-05-12 02:42:00,1.4707454
NHITS_11KV_KUBERA,2026-05-12 02:45:00,1.4735792
NHITS_11KV_KUBERA,2026-05-12 02:48:00,1.5798838
NHITS_11KV_KUBERA,2026-05-12 02:51:00,1.5634815
NHITS_11KV_KUBERA,2026-05-12 02:54:00,1.5311075
NHITS_11KV_KUBERA,2026-05-12 02:57:00,1.5226988
NHITS_11KV_KUBERA,2026-05-12 03:00:00,1.4729795
NHITS_11KV_KUBERA,2026-05-12 03:03:00,1.5175495
NHITS_11KV_KUBERA,2026-05-12 03:06:00,1.5760331
NHITS_11KV_KUBERA,2026-05-12 03:09:00,1.6154621
NHITS_11KV_KUBERA,2026-05-12 03:12:00,1.5833768
NHITS_11KV_KUBERA,2026-05-12 03:15:00,1.5721104
NHITS_11KV_KUBERA,2026-05-12 03:18:00,1.4867933
NHITS_11KV_KUBERA,2026-05-12 03:21:00,1.4676172
