unique_id,ds,forecast_MW
NHITS_11KV_LUMAX,2026-05-12 02:06:00,1.8567063
NHITS_11KV_LUMAX,2026-05-12 02:09:00,1.8345156
NHITS_11KV_LUMAX,2026-05-12 02:12:00,1.8584136
NHITS_11KV_LUMAX,2026-05-12 02:15:00,1.8222966
NHITS_11KV_LUMAX,2026-05-12 02:18:00,1.8243852
NHITS_11KV_LUMAX,2026-05-12 02:21:00,1.7739763
NHITS_11KV_LUMAX,2026-05-12 02:24:00,1.7763891
NHITS_11KV_LUMAX,2026-05-12 02:27:00,1.7887825
NHITS_11KV_LUMAX,2026-05-12 02:30:00,1.8186194
NHITS_11KV_LUMAX,2026-05-12 02:33:00,1.7797885
NHITS_11KV_LUMAX,2026-05-12 02:36:00,1.8066739
NHITS_11KV_LUMAX,2026-05-12 02:39:00,1.7846298
NHITS_11KV_LUMAX,2026-05-12 02:42:00,1.761717
NHITS_11KV_LUMAX,2026-05-12 02:45:00,1.7500148
NHITS_11KV_LUMAX,2026-05-12 02:48:00,1.7803739
NHITS_11KV_LUMAX,2026-05-12 02:51:00,1.7867985
NHITS_11KV_LUMAX,2026-05-12 02:54:00,1.8212785
NHITS_11KV_LUMAX,2026-05-12 02:57:00,1.8126513
NHITS_11KV_LUMAX,2026-05-12 03:00:00,1.8048296
NHITS_11KV_LUMAX,2026-05-12 03:03:00,1.8343705
