unique_id,ds,y,IR_A,IY_A,IB_A,VRY_kV,VYB_kV,VBR_kV,avg_current,current_imbalance_pct,avg_voltage,voltage_imbalance_pct,tod_sin,tod_cos,hour,minute,day_of_week,is_weekend
EP_FD03,2026-06-15 00:00:00,0.4236,23.45,21.94,22.59,11.045,11.031,11.03,22.66,3.4863195057369776,11.035333333333334,0.08759741436597032,0.0,1.0,0.0,0.0,0.0,0.0
EP_FD03,2026-06-15 00:03:00,0.4236,23.4,21.75,22.5,11.133,11.007,11.03,22.55,3.7694013303769305,11.056666666666667,0.6903828760928472,0.01308959557134444,0.999914327574007,0.0,3.0,0.0,0.0
EP_FD03,2026-06-15 00:06:00,0.4209,24.3,22.9,23.89,10.982,11.031,10.98,23.69666666666667,3.361935574623732,10.997666666666666,0.30309459582337156,0.02617694830787315,0.9996573249755573,0.0,6.0,0.0,0.0
EP_FD03,2026-06-15 00:09:00,0.5112,24.35,23.16,24.81,11.135,11.02,10.972,24.10666666666667,3.926991150442487,11.042333333333334,0.839194614664771,0.03925981575906861,0.9992290362407229,0.0,9.0,0.0,0.0
EP_FD03,2026-06-15 00:12:00,0.422,24.35,23.99,25.08,10.957,11.003,10.97,24.473333333333333,2.4788885862162853,10.976666666666667,0.23990282417248898,0.05233595624294383,0.9986295347545738,0.0,12.0,0.0,0.0
EP_FD03,2026-06-15 00:15:00,0.4071,25.66,26.58,27.42,10.925,10.991,10.951,26.55333333333333,3.36429826763745,10.955666666666668,0.3225119420695418,0.06540312923014306,0.9978589232386035,0.0,15.0,0.0,0.0
EP_FD03,2026-06-15 00:18:00,0.409,25.44,26.46,27.84,10.965,11.0,10.998,26.580000000000002,4.740406320541753,10.987666666666668,0.20629190304281517,0.07845909572784494,0.996917333733128,0.0,18.0,0.0,0.0
EP_FD03,2026-06-15 00:21:00,0.5049,26.06,24.8,30.21,11.071,11.009,10.99,27.02333333333333,11.792278278031349,11.023333333333333,0.43241608708799184,0.09150161866340237,0.9958049275746618,0.0,21.0,0.0,0.0
EP_FD03,2026-06-15 00:24:00,0.3974,26.57,27.09,29.28,11.107,11.018,10.944,27.646666666666665,5.907885218230058,11.023000000000001,0.7620430009978939,0.10452846326765346,0.9945218953682733,0.0,24.0,0.0,0.0
EP_FD03,2026-06-15 00:27:00,0.4138,26.65,26.15,29.5,11.138,11.0,11.051,27.433333333333334,7.533414337788577,11.063,0.6779354605441498,0.11753739745783764,0.9930684569549263,0.0,27.0,0.0,0.0
EP_FD03,2026-06-15 00:30:00,0.3113,21.04,20.14,21.69,11.159,11.012,10.98,20.956666666666667,3.896930173373627,11.050333333333333,0.9833790835872345,0.13052619222005157,0.9914448613738104,0.0,30.0,0.0,0.0
