unique_id,ds,y,IR,IY,IB,VRY,VYB,VBR,avg_current,current_imbalance_pct,avg_voltage,voltage_imbalance_pct,tod_sin,tod_cos,hour,minute,day_of_week,is_weekend
NHITS_11KV_LUMAX,2026-05-11 01:06:00,1.53,74.9,82.7,79.7,10.9,10.9,10.8,79.10000000000001,5.309734513274339,10.866666666666667,0.6134969325153352,0.28401534470392265,0.958819734868193,1.0,6.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 01:09:00,1.61,81.9,88.2,85.6,10.9,10.9,10.8,85.23333333333333,3.9108330074305773,10.866666666666667,0.6134969325153352,0.29654157497557093,0.9550199444571866,1.0,9.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 01:12:00,1.65,81.9,88.2,85.6,10.9,10.9,10.9,85.23333333333333,3.9108330074305773,10.9,0.0,0.3090169943749474,0.9510565162951535,1.0,12.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 01:15:00,1.5,78.5,84.0,81.5,10.9,10.9,10.9,81.33333333333333,3.4836065573770436,10.9,0.0,0.3214394653031616,0.9469301294951057,1.0,15.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 01:18:00,1.57,78.5,84.0,81.5,10.9,10.9,10.9,81.33333333333333,3.4836065573770436,10.9,0.0,0.33380685923377096,0.9426414910921784,1.0,18.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 01:21:00,1.51,74.0,79.9,77.3,10.9,10.9,10.9,77.06666666666666,3.9792387543252548,10.9,0.0,0.34611705707749296,0.9381913359224842,1.0,21.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 01:24:00,1.47,75.1,81.1,77.6,10.9,10.9,10.9,77.93333333333332,4.063301967493591,10.9,0.0,0.3583679495453002,0.9335804264972017,1.0,24.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 01:27:00,1.51,75.1,81.1,77.6,10.8,10.8,10.8,77.93333333333332,4.063301967493591,10.800000000000002,1.644774851296528e-14,0.3705574375098362,0.9288095528719242,1.0,27.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 01:30:00,1.5,77.5,84.1,80.1,10.8,10.9,10.8,80.56666666666666,4.385601985932973,10.833333333333334,0.6153846153846132,0.3826834323650898,0.9238795325112867,1.0,30.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 01:33:00,1.4,77.5,84.1,80.1,10.9,10.9,10.8,80.56666666666666,4.385601985932973,10.866666666666667,0.6134969325153352,0.39474385638426723,0.9187912101488983,1.0,33.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 01:36:00,1.45,83.4,88.9,85.7,10.8,10.8,10.8,86.0,3.3720930232558204,10.800000000000002,1.644774851296528e-14,0.40673664307580015,0.9135454576426009,1.0,36.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 01:39:00,1.34,73.5,79.2,77.2,10.9,10.9,10.8,76.63333333333333,4.088734232274892,10.866666666666667,0.6134969325153352,0.418659737537428,0.9081431738250814,1.0,39.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 01:42:00,1.46,73.5,79.2,77.2,10.9,10.9,10.9,76.63333333333333,4.088734232274892,10.9,0.0,0.4305110968082951,0.9025852843498606,1.0,42.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 01:45:00,1.39,69.4,74.5,72.2,10.9,10.9,10.9,72.03333333333335,3.6557149467839047,10.9,0.0,0.4422886902190013,0.8968727415326883,1.0,45.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 01:48:00,1.46,69.4,74.5,72.2,10.9,10.9,10.9,72.03333333333335,3.6557149467839047,10.9,0.0,0.45399049973954675,0.8910065241883679,1.0,48.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 01:51:00,1.43,74.1,79.3,76.9,10.9,10.9,10.9,76.76666666666667,3.4737299174989205,10.9,0.0,0.4656145203251114,0.8849876374630419,1.0,51.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 01:54:00,1.58,76.1,83.5,80.1,10.9,10.9,10.9,79.89999999999999,4.755944931163952,10.9,0.0,0.4771587602596084,0.8788171126619654,1.0,54.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 01:57:00,1.52,76.1,83.5,80.1,10.9,10.9,10.9,79.89999999999999,4.755944931163952,10.9,0.0,0.4886212414969549,0.8724960070727972,1.0,57.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 02:00:00,1.52,75.2,81.5,78.3,10.9,10.9,10.9,78.33333333333333,4.042553191489368,10.9,0.0,0.49999999999999994,0.8660254037844387,2.0,0.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 02:03:00,1.46,75.2,81.5,78.3,10.9,10.9,10.9,78.33333333333333,4.042553191489368,10.9,0.0,0.511293086077052,0.8594064115014527,2.0,3.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 02:06:00,1.43,72.80000000000001,92.7,75.9,10.9,11.0,10.9,80.46666666666667,15.202982601491302,10.933333333333332,0.6097560975609898,0.5224985647159488,0.8526401643540922,2.0,6.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 02:09:00,1.37,70.4,76.2,73.5,10.9,10.9,10.9,73.36666666666667,4.043616537937304,10.9,0.0,0.5336145159156115,0.8457278217039733,2.0,9.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 02:12:00,1.46,70.4,76.2,73.5,10.9,10.9,10.9,73.36666666666667,4.043616537937304,10.9,0.0,0.5446390350150271,0.838670567945424,2.0,12.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 02:15:00,1.44,76.7,83.4,80.1,10.9,10.9,10.9,80.06666666666668,4.204829308909251,10.9,0.0,0.5555702330196022,0.8314696123025452,2.0,15.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 02:18:00,1.54,76.7,83.4,80.1,10.9,10.9,10.9,80.06666666666668,4.204829308909251,10.9,0.0,0.5664062369248328,0.8241261886220157,2.0,18.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 02:21:00,1.56,74.1,80.5,76.9,10.9,10.9,10.9,77.16666666666667,4.319654427645782,10.9,0.0,0.5771451900372336,0.8166415551616789,2.0,21.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 02:24:00,1.46,75.7,81.6,79.4,10.9,11.0,10.9,78.9,4.055766793409382,10.933333333333332,0.6097560975609898,0.5877852522924731,0.8090169943749475,2.0,24.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 02:27:00,1.53,75.7,81.6,79.4,11.0,11.0,10.9,78.9,4.055766793409382,10.966666666666667,0.6079027355623079,0.5983246005706591,0.8012538126910607,2.0,27.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 02:30:00,1.5,75.5,82.0,78.7,11.0,11.0,11.0,78.73333333333333,4.149026248941574,11.0,0.0,0.6087614290087207,0.7933533402912352,2.0,30.0,0.0,0.0
NHITS_11KV_LUMAX,2026-05-11 02:33:00,1.45,75.5,82.0,78.7,11.0,10.9,11.0,78.73333333333333,4.149026248941574,10.966666666666667,0.6079027355623079,0.619093949309834,0.785316930880745,2.0,33.0,0.0,0.0
